amount,area_code,area_name
239999,E05000828,Flixton
1050000,E05000821,Bowdon
208000,E05000838,Urmston
317500,E05000836,Stretford
327000,E05000825,Clifford
150000,E05000821,Bowdon
226000,E05000835,Sale Moor
185000,E05000828,Flixton
138995,E05000832,Longford
162000,E05000829,Gorse Hill
375000,E05000836,Stretford
525000,E05000819,Altrincham
296000,E05000837,Timperley
670000,E05000823,Brooklands
310000,E05000835,Sale Moor
248000,E05000832,Longford
675000,E05000834,St Mary's
238000,E05000827,Davyhulme West
230000,E05000828,Flixton
220000,E05000825,Clifford
280000,E05000820,Ashton upon Mersey
232000,E05000826,Davyhulme East
166000,E05000829,Gorse Hill
266000,E05000822,Broadheath
182000,E05000829,Gorse Hill
945000,E05000831,Hale Central
241000,E05000828,Flixton
202999,E05000838,Urmston
220000,E05000829,Gorse Hill
285000,E05000838,Urmston
316000,E05000834,St Mary's
96000,E05000836,Stretford
135000,E05000826,Davyhulme East
354117,E05000828,Flixton
165000,E05000822,Broadheath
296100,E05000820,Ashton upon Mersey
210000,E05000836,Stretford
166667,E05000831,Hale Central
178600,E05000829,Gorse Hill
250000,E05000828,Flixton
265000,E05000835,Sale Moor
196625,E05000828,Flixton
230000,E05000828,Flixton
138000,E05000829,Gorse Hill
240000,E05000819,Altrincham
176000,E05000828,Flixton
217500,E05000838,Urmston
230000,E05000828,Flixton
384000,E05000827,Davyhulme West
380000,E05000831,Hale Central
155000,E05000829,Gorse Hill
317000,E05000834,St Mary's
340000,E05000834,St Mary's
159000,E05000824,Bucklow-St Martins
355000,E05000837,Timperley
172000,E05000829,Gorse Hill
256000,E05000833,Priory
180000,E05000829,Gorse Hill
565000,E05000821,Bowdon
340000,E05000837,Timperley
200000,E05000822,Broadheath
375000,E05000821,Bowdon
349050,E05000822,Broadheath
200000,E05000820,Ashton upon Mersey
405000,E05000831,Hale Central
154000,E05000835,Sale Moor
168500,E05000821,Bowdon
250000,E05000830,Hale Barns
325000,E05000831,Hale Central
1250000,E05000830,Hale Barns
160000,E05000820,Ashton upon Mersey
169000,E05000823,Brooklands
198000,E05000829,Gorse Hill
1300000,E05000821,Bowdon
310000,E05000833,Priory
415000,E05000831,Hale Central
292500,E05000821,Bowdon
135000,E05000835,Sale Moor
59500,E05000822,Broadheath
563000,E05000830,Hale Barns
340000,E05000822,Broadheath
218000,E05000825,Clifford
265000,E05000831,Hale Central
315000,E05000823,Brooklands
360000,E05000839,Village
120000,E05000820,Ashton upon Mersey
210000,E05000828,Flixton
130000,E05000824,Bucklow-St Martins
200000,E05000834,St Mary's
113000,E05000824,Bucklow-St Martins
311500,E05000822,Broadheath
350000,E05000837,Timperley
350000,E05000839,Village
575000,E05000830,Hale Barns
180000,E05000833,Priory
220000,E05000837,Timperley
195950,E05000833,Priory
380000,E05000837,Timperley
161000,E05000834,St Mary's
100000,E05000823,Brooklands
175000,E05000827,Davyhulme West
325000,E05000830,Hale Barns
122500,E05000837,Timperley
103500,E05000827,Davyhulme West
110000,E05000825,Clifford
229000,E05000828,Flixton
343000,E05000832,Longford
345000,E05000819,Altrincham
160000,E05000833,Priory
76150,E05000832,Longford
540000,E05000833,Priory
199000,E05000835,Sale Moor
151500,E05000838,Urmston
122500,E05000825,Clifford
320000,E05000831,Hale Central
750000,E05000821,Bowdon
328000,E05000822,Broadheath
179950,E05000826,Davyhulme East
205000,E05000839,Village
79950,E05000822,Broadheath
385000,E05000839,Village
170700,E05000829,Gorse Hill
167950,E05000819,Altrincham
750000,E05000830,Hale Barns
305000,E05000839,Village
289000,E05000826,Davyhulme East
339000,E05000839,Village
155000,E05000826,Davyhulme East
212000,E05000828,Flixton
528000,E05000819,Altrincham
400000,E05000825,Clifford
361000,E05000837,Timperley
141000,E05000826,Davyhulme East
189950,E05000826,Davyhulme East
250000,E05000830,Hale Barns
275000,E05000838,Urmston
227000,E05000819,Altrincham
218000,E05000838,Urmston
300000,E05000837,Timperley
186500,E05000838,Urmston
150000,E05000829,Gorse Hill
170000,E05000833,Priory
122500,E05000838,Urmston
124000,E05000829,Gorse Hill
242000,E05000832,Longford
1233000,E05000819,Altrincham
150000,E05000822,Broadheath
184500,E05000833,Priory
155000,E05000820,Ashton upon Mersey
381000,E05000823,Brooklands
198000,E05000838,Urmston
160000,E05000832,Longford
272000,E05000823,Brooklands
205000,E05000838,Urmston
123500,E05000825,Clifford
190000,E05000838,Urmston
270000,E05000828,Flixton
175000,E05000836,Stretford
230000,E05000822,Broadheath
130000,E05000837,Timperley
350000,E05000838,Urmston
175000,E05000825,Clifford
145000,E05000825,Clifford
254000,E05000824,Bucklow-St Martins
173500,E05000829,Gorse Hill
138000,E05000834,St Mary's
135000,E05000834,St Mary's
350000,E05000827,Davyhulme West
885000,E05000821,Bowdon
204000,E05000827,Davyhulme West
170000,E05000820,Ashton upon Mersey
187500,E05000825,Clifford
278000,E05000822,Broadheath
325000,E05000821,Bowdon
255000,E05000827,Davyhulme West
191000,E05000820,Ashton upon Mersey
205000,E05000819,Altrincham
252100,E05000819,Altrincham
429950,E05000835,Sale Moor
108000,E05000835,Sale Moor
105000,E05000829,Gorse Hill
499000,E05000819,Altrincham
350000,E05000820,Ashton upon Mersey
890000,E05000821,Bowdon
325000,E05000819,Altrincham
190000,E05000836,Stretford
230000,E05000820,Ashton upon Mersey
775000,E05000830,Hale Barns
185000,E05000828,Flixton
165000,E05000832,Longford
166950,E05000833,Priory
1410000,E05000821,Bowdon
422850,E05000820,Ashton upon Mersey
209500,E05000833,Priory
776200,E05000831,Hale Central
299995,E05000823,Brooklands
212000,E05000835,Sale Moor
305000,E05000822,Broadheath
260000,E05000820,Ashton upon Mersey
310000,E05000837,Timperley
249000,E05000820,Ashton upon Mersey
500000,E05000819,Altrincham
135000,E05000824,Bucklow-St Martins
272000,E05000834,St Mary's
260500,E05000832,Longford
311197,E05000832,Longford
520000,E05000831,Hale Central
330000,E05000834,St Mary's
325000,E05000833,Priory
330500,E05000820,Ashton upon Mersey
490000,E05000822,Broadheath
160000,E05000832,Longford
217500,E05000834,St Mary's
312000,E05000822,Broadheath
205000,E05000822,Broadheath
192000,E05000828,Flixton
152000,E05000833,Priory
262050,E05000832,Longford
108000,E05000819,Altrincham
264000,E05000838,Urmston
70000,E05000834,St Mary's
377000,E05000830,Hale Barns
275000,E05000839,Village
325000,E05000837,Timperley
205000,E05000838,Urmston
483000,E05000828,Flixton
130000,E05000834,St Mary's
185000,E05000827,Davyhulme West
180000,E05000831,Hale Central
345000,E05000839,Village
850000,E05000830,Hale Barns
225000,E05000821,Bowdon
96375,E05000822,Broadheath
300000,E05000825,Clifford
120000,E05000836,Stretford
215000,E05000819,Altrincham
200000,E05000825,Clifford
727500,E05000830,Hale Barns
665000,E05000839,Village
420000,E05000819,Altrincham
465000,E05000831,Hale Central
249000,E05000820,Ashton upon Mersey
141500,E05000826,Davyhulme East
375000,E05000837,Timperley
210000,E05000826,Davyhulme East
205000,E05000822,Broadheath
120000,E05000828,Flixton
320000,E05000824,Bucklow-St Martins
515000,E05000839,Village
137500,E05000827,Davyhulme West
145000,E05000833,Priory
235000,E05000824,Bucklow-St Martins
184000,E05000829,Gorse Hill
310000,E05000831,Hale Central
160000,E05000829,Gorse Hill
120000,E05000829,Gorse Hill
245000,E05000826,Davyhulme East
420000,E05000821,Bowdon
129950,E05000839,Village
177000,E05000837,Timperley
180000,E05000822,Broadheath
235000,E05000837,Timperley
265000,E05000822,Broadheath
595000,E05000831,Hale Central
305000,E05000822,Broadheath
166000,E05000829,Gorse Hill
645000,E05000821,Bowdon
99995,E05000832,Longford
250000,E05000822,Broadheath
295000,E05000819,Altrincham
270000,E05000833,Priory
193000,E05000827,Davyhulme West
300000,E05000819,Altrincham
235000,E05000828,Flixton
97000,E05000835,Sale Moor
240000,E05000834,St Mary's
86500,E05000833,Priory
221250,E05000833,Priory
145000,E05000831,Hale Central
200000,E05000838,Urmston
155000,E05000835,Sale Moor
299999,E05000827,Davyhulme West
252500,E05000829,Gorse Hill
300000,E05000819,Altrincham
150000,E05000838,Urmston
352500,E05000831,Hale Central
125000,E05000826,Davyhulme East
300000,E05000823,Brooklands
93000,E05000824,Bucklow-St Martins
195000,E05000825,Clifford
277500,E05000835,Sale Moor
159950,E05000839,Village
279400,E05000825,Clifford
220000,E05000833,Priory
267500,E05000837,Timperley
445000,E05000831,Hale Central
211000,E05000838,Urmston
323000,E05000832,Longford
150000,E05000829,Gorse Hill
156000,E05000829,Gorse Hill
271999,E05000838,Urmston
160000,E05000821,Bowdon
230000,E05000831,Hale Central
175000,E05000837,Timperley
230181,E05000831,Hale Central
209000,E05000834,St Mary's
257000,E05000832,Longford
310000,E05000828,Flixton
412000,E05000826,Davyhulme East
200000,E05000839,Village
126450,E05000819,Altrincham
291000,E05000833,Priory
263499,E05000838,Urmston
185000,E05000838,Urmston
186000,E05000828,Flixton
220000,E05000820,Ashton upon Mersey
200000,E05000831,Hale Central
2050000,E05000821,Bowdon
332000,E05000831,Hale Central
370000,E05000831,Hale Central
540000,E05000831,Hale Central
160000,E05000832,Longford
600000,E05000834,St Mary's
652000,E05000831,Hale Central
420000,E05000827,Davyhulme West
668000,E05000821,Bowdon
308000,E05000831,Hale Central
1300000,E05000831,Hale Central
327500,E05000822,Broadheath
208000,E05000820,Ashton upon Mersey
116000,E05000838,Urmston
290000,E05000822,Broadheath
233000,E05000832,Longford
477500,E05000831,Hale Central
285000,E05000826,Davyhulme East
169950,E05000822,Broadheath
292750,E05000821,Bowdon
280000,E05000822,Broadheath
215000,E05000833,Priory
365000,E05000830,Hale Barns
165000,E05000826,Davyhulme East
320000,E05000822,Broadheath
305000,E05000828,Flixton
198500,E05000822,Broadheath
264000,E05000835,Sale Moor
195000,E05000819,Altrincham
95995,E05000832,Longford
170000,E05000839,Village
270000,E05000830,Hale Barns
275000,E05000820,Ashton upon Mersey
593000,E05000834,St Mary's
287777,E05000831,Hale Central
465000,E05000833,Priory
710000,E05000830,Hale Barns
153000,E05000833,Priory
1375000,E05000830,Hale Barns
310000,E05000831,Hale Central
150000,E05000833,Priory
377000,E05000819,Altrincham
221000,E05000833,Priory
225000,E05000833,Priory
90000,E05000832,Longford
250000,E05000832,Longford
105000,E05000836,Stretford
525501,E05000830,Hale Barns
335000,E05000838,Urmston
713000,E05000831,Hale Central
138000,E05000824,Bucklow-St Martins
470000,E05000821,Bowdon
339950,E05000821,Bowdon
250000,E05000836,Stretford
98000,E05000829,Gorse Hill
296250,E05000833,Priory
154950,E05000836,Stretford
195000,E05000838,Urmston
89950,E05000832,Longford
225000,E05000833,Priory
210000,E05000836,Stretford
172500,E05000839,Village
154000,E05000819,Altrincham
139995,E05000819,Altrincham
206100,E05000825,Clifford
139995,E05000819,Altrincham
152000,E05000819,Altrincham
152000,E05000819,Altrincham
1575000,E05000830,Hale Barns
168500,E05000820,Ashton upon Mersey
207500,E05000819,Altrincham
280000,E05000820,Ashton upon Mersey
181500,E05000838,Urmston
200000,E05000820,Ashton upon Mersey
139995,E05000819,Altrincham
525000,E05000837,Timperley
525000,E05000819,Altrincham
185000,E05000828,Flixton
760000,E05000830,Hale Barns
160000,E05000827,Davyhulme West
420000,E05000831,Hale Central
255000,E05000835,Sale Moor
105000,E05000838,Urmston
165000,E05000836,Stretford
278000,E05000837,Timperley
255000,E05000838,Urmston
365000,E05000826,Davyhulme East
200000,E05000837,Timperley
285000,E05000820,Ashton upon Mersey
245000,E05000820,Ashton upon Mersey
220000,E05000833,Priory
225000,E05000828,Flixton
225000,E05000828,Flixton
505000,E05000834,St Mary's
233000,E05000825,Clifford
233000,E05000835,Sale Moor
141000,E05000827,Davyhulme West
110000,E05000834,St Mary's
168000,E05000829,Gorse Hill
490000,E05000821,Bowdon
197000,E05000838,Urmston
560000,E05000834,St Mary's
373600,E05000833,Priory
247500,E05000820,Ashton upon Mersey
150000,E05000822,Broadheath
185000,E05000820,Ashton upon Mersey
215000,E05000829,Gorse Hill
225000,E05000836,Stretford
119950,E05000836,Stretford
204950,E05000819,Altrincham
320000,E05000839,Village
285000,E05000832,Longford
335000,E05000835,Sale Moor
165000,E05000827,Davyhulme West
120000,E05000839,Village
170580,E05000838,Urmston
159000,E05000819,Altrincham
276000,E05000826,Davyhulme East
515000,E05000835,Sale Moor
139995,E05000819,Altrincham
224950,E05000833,Priory
201500,E05000819,Altrincham
293000,E05000823,Brooklands
155500,E05000819,Altrincham
185000,E05000836,Stretford
283000,E05000831,Hale Central
281750,E05000822,Broadheath
385000,E05000837,Timperley
240000,E05000833,Priory
105000,E05000824,Bucklow-St Martins
240000,E05000838,Urmston
223000,E05000837,Timperley
245000,E05000836,Stretford
585000,E05000831,Hale Central
198000,E05000832,Longford
175000,E05000835,Sale Moor
207950,E05000836,Stretford
170000,E05000820,Ashton upon Mersey
409750,E05000819,Altrincham
148000,E05000832,Longford
495000,E05000833,Priory
265000,E05000834,St Mary's
238500,E05000826,Davyhulme East
350000,E05000827,Davyhulme West
160000,E05000819,Altrincham
280000,E05000831,Hale Central
329999,E05000838,Urmston
278000,E05000831,Hale Central
443000,E05000834,St Mary's
74000,E05000822,Broadheath
81000,E05000831,Hale Central
230000,E05000825,Clifford
430000,E05000833,Priory
470000,E05000830,Hale Barns
156500,E05000819,Altrincham
175000,E05000836,Stretford
245000,E05000828,Flixton
170000,E05000829,Gorse Hill
161000,E05000838,Urmston
138000,E05000833,Priory
162500,E05000833,Priory
100000,E05000822,Broadheath
442500,E05000839,Village
832000,E05000830,Hale Barns
233000,E05000835,Sale Moor
515000,E05000830,Hale Barns
342000,E05000837,Timperley
565000,E05000831,Hale Central
790000,E05000819,Altrincham
215000,E05000836,Stretford
154000,E05000836,Stretford
312500,E05000836,Stretford
287500,E05000833,Priory
310000,E05000839,Village
243500,E05000838,Urmston
124950,E05000828,Flixton
215500,E05000833,Priory
160000,E05000833,Priory
220000,E05000834,St Mary's
645000,E05000823,Brooklands
307000,E05000820,Ashton upon Mersey
223000,E05000819,Altrincham
235000,E05000822,Broadheath
150000,E05000832,Longford
282000,E05000819,Altrincham
250000,E05000828,Flixton
345000,E05000831,Hale Central
460000,E05000823,Brooklands
445000,E05000839,Village
242000,E05000821,Bowdon
267950,E05000839,Village
300000,E05000838,Urmston
225000,E05000838,Urmston
140000,E05000819,Altrincham
255000,E05000819,Altrincham
325000,E05000833,Priory
236000,E05000822,Broadheath
328500,E05000823,Brooklands
296000,E05000837,Timperley
305000,E05000837,Timperley
219999,E05000838,Urmston
335750,E05000819,Altrincham
141296,E05000819,Altrincham
275000,E05000827,Davyhulme West
269950,E05000826,Davyhulme East
237500,E05000837,Timperley
425000,E05000834,St Mary's
164000,E05000829,Gorse Hill
125000,E05000835,Sale Moor
155000,E05000819,Altrincham
290000,E05000830,Hale Barns
334000,E05000820,Ashton upon Mersey
210000,E05000833,Priory
220000,E05000834,St Mary's
265000,E05000819,Altrincham
351253,E05000819,Altrincham
325000,E05000823,Brooklands
320050,E05000819,Altrincham
305000,E05000834,St Mary's
290500,E05000835,Sale Moor
445000,E05000822,Broadheath
198500,E05000822,Broadheath
189950,E05000822,Broadheath
268000,E05000838,Urmston
120000,E05000838,Urmston
181000,E05000829,Gorse Hill
157000,E05000833,Priory
200000,E05000819,Altrincham
437000,E05000823,Brooklands
346000,E05000819,Altrincham
280000,E05000838,Urmston
205000,E05000838,Urmston
140000,E05000821,Bowdon
326000,E05000838,Urmston
194000,E05000830,Hale Barns
519750,E05000819,Altrincham
114000,E05000822,Broadheath
288000,E05000833,Priory
155000,E05000836,Stretford
150000,E05000820,Ashton upon Mersey
132000,E05000839,Village
205000,E05000833,Priory
515750,E05000819,Altrincham
117000,E05000826,Davyhulme East
342750,E05000837,Timperley
110000,E05000834,St Mary's
1050000,E05000819,Altrincham
269950,E05000826,Davyhulme East
205000,E05000836,Stretford
1183000,E05000821,Bowdon
241000,E05000828,Flixton
162000,E05000835,Sale Moor
250000,E05000836,Stretford
332000,E05000828,Flixton
175000,E05000827,Davyhulme West
150000,E05000824,Bucklow-St Martins
238000,E05000828,Flixton
255000,E05000822,Broadheath
275000,E05000820,Ashton upon Mersey
465750,E05000819,Altrincham
130000,E05000820,Ashton upon Mersey
340000,E05000833,Priory
232000,E05000828,Flixton
187500,E05000820,Ashton upon Mersey
149500,E05000824,Bucklow-St Martins
715000,E05000821,Bowdon
180995,E05000827,Davyhulme West
147995,E05000827,Davyhulme West
156000,E05000822,Broadheath
370000,E05000822,Broadheath
114000,E05000823,Brooklands
412000,E05000822,Broadheath
176995,E05000827,Davyhulme West
84673,E05000834,St Mary's
369750,E05000819,Altrincham
142500,E05000834,St Mary's
176995,E05000827,Davyhulme West
147995,E05000827,Davyhulme West
200000,E05000833,Priory
107000,E05000835,Sale Moor
110000,E05000825,Clifford
275000,E05000827,Davyhulme West
218000,E05000825,Clifford
161995,E05000827,Davyhulme West
172500,E05000835,Sale Moor
268000,E05000819,Altrincham
154995,E05000827,Davyhulme West
319950,E05000822,Broadheath
158995,E05000827,Davyhulme West
122000,E05000838,Urmston
335000,E05000821,Bowdon
185000,E05000824,Bucklow-St Martins
197500,E05000836,Stretford
262000,E05000835,Sale Moor
262000,E05000835,Sale Moor
270000,E05000838,Urmston
153500,E05000833,Priory
118500,E05000833,Priory
179995,E05000827,Davyhulme West
575000,E05000819,Altrincham
370750,E05000819,Altrincham
195000,E05000829,Gorse Hill
246000,E05000819,Altrincham
490750,E05000819,Altrincham
275000,E05000825,Clifford
295000,E05000837,Timperley
326000,E05000822,Broadheath
137500,E05000838,Urmston
205000,E05000833,Priory
290500,E05000823,Brooklands
110000,E05000819,Altrincham
443500,E05000837,Timperley
380000,E05000837,Timperley
171000,E05000836,Stretford
265000,E05000838,Urmston
900000,E05000831,Hale Central
255000,E05000822,Broadheath
250000,E05000836,Stretford
185000,E05000839,Village
575000,E05000819,Altrincham
170000,E05000820,Ashton upon Mersey
625000,E05000830,Hale Barns
310000,E05000827,Davyhulme West
295000,E05000833,Priory
228750,E05000836,Stretford
165000,E05000820,Ashton upon Mersey
119000,E05000824,Bucklow-St Martins
235000,E05000820,Ashton upon Mersey
319950,E05000838,Urmston
264000,E05000822,Broadheath
595000,E05000821,Bowdon
415000,E05000830,Hale Barns
270000,E05000828,Flixton
270000,E05000828,Flixton
154000,E05000826,Davyhulme East
248000,E05000828,Flixton
325000,E05000823,Brooklands
238500,E05000822,Broadheath
345000,E05000822,Broadheath
450000,E05000830,Hale Barns
297000,E05000822,Broadheath
250000,E05000822,Broadheath
397500,E05000820,Ashton upon Mersey
189750,E05000819,Altrincham
266500,E05000819,Altrincham
190000,E05000833,Priory
485000,E05000823,Brooklands
630000,E05000831,Hale Central
400000,E05000831,Hale Central
265000,E05000820,Ashton upon Mersey
215000,E05000827,Davyhulme West
150000,E05000836,Stretford
125000,E05000838,Urmston
179000,E05000839,Village
187700,E05000839,Village
172000,E05000829,Gorse Hill
257000,E05000835,Sale Moor
191000,E05000834,St Mary's
475000,E05000822,Broadheath
399950,E05000835,Sale Moor
200000,E05000825,Clifford
700000,E05000821,Bowdon
275000,E05000828,Flixton
290000,E05000830,Hale Barns
264550,E05000827,Davyhulme West
430000,E05000831,Hale Central
197500,E05000821,Bowdon
310000,E05000826,Davyhulme East
435000,E05000830,Hale Barns
172500,E05000828,Flixton
335000,E05000839,Village
175000,E05000823,Brooklands
168000,E05000833,Priory
335000,E05000828,Flixton
372500,E05000834,St Mary's
220050,E05000822,Broadheath
185000,E05000838,Urmston
210000,E05000834,St Mary's
340100,E05000836,Stretford
176500,E05000833,Priory
153000,E05000838,Urmston
219000,E05000833,Priory
375000,E05000827,Davyhulme West
237000,E05000829,Gorse Hill
160000,E05000832,Longford
175000,E05000829,Gorse Hill
246000,E05000833,Priory
465750,E05000819,Altrincham
320000,E05000819,Altrincham
133000,E05000827,Davyhulme West
284687,E05000832,Longford
349950,E05000827,Davyhulme West
210000,E05000823,Brooklands
150000,E05000831,Hale Central
203000,E05000827,Davyhulme West
285000,E05000839,Village
355000,E05000837,Timperley
108000,E05000839,Village
347500,E05000822,Broadheath
312000,E05000823,Brooklands
218000,E05000832,Longford
193250,E05000822,Broadheath
160000,E05000833,Priory
93500,E05000824,Bucklow-St Martins
280000,E05000838,Urmston
235000,E05000838,Urmston
208500,E05000832,Longford
163000,E05000833,Priory
770000,E05000834,St Mary's
162000,E05000824,Bucklow-St Martins
150000,E05000832,Longford
145000,E05000824,Bucklow-St Martins
206000,E05000826,Davyhulme East
335000,E05000837,Timperley
465000,E05000835,Sale Moor
166000,E05000834,St Mary's
330000,E05000823,Brooklands
437000,E05000821,Bowdon
255050,E05000819,Altrincham
320000,E05000823,Brooklands
110000,E05000827,Davyhulme West
206000,E05000819,Altrincham
395000,E05000821,Bowdon
265000,E05000826,Davyhulme East
575000,E05000839,Village
305000,E05000831,Hale Central
175000,E05000826,Davyhulme East
362500,E05000819,Altrincham
172510,E05000822,Broadheath
214000,E05000820,Ashton upon Mersey
382000,E05000836,Stretford
247000,E05000829,Gorse Hill
245000,E05000821,Bowdon
200000,E05000835,Sale Moor
150000,E05000819,Altrincham
305000,E05000822,Broadheath
218000,E05000836,Stretford
215000,E05000832,Longford
250000,E05000828,Flixton
199950,E05000827,Davyhulme West
232000,E05000827,Davyhulme West
287000,E05000836,Stretford
183500,E05000829,Gorse Hill
227750,E05000825,Clifford
3500000,E05000831,Hale Central
1010014,E05000821,Bowdon
158500,E05000836,Stretford
130000,E05000819,Altrincham
406000,E05000820,Ashton upon Mersey
275000,E05000820,Ashton upon Mersey
580000,E05000834,St Mary's
325000,E05000824,Bucklow-St Martins
154000,E05000819,Altrincham
475000,E05000830,Hale Barns
122000,E05000838,Urmston
464750,E05000819,Altrincham
460000,E05000833,Priory
110000,E05000824,Bucklow-St Martins
115000,E05000835,Sale Moor
308000,E05000819,Altrincham
265000,E05000823,Brooklands
208500,E05000836,Stretford
270000,E05000830,Hale Barns
157000,E05000825,Clifford
205000,E05000827,Davyhulme West
203000,E05000827,Davyhulme West
175000,E05000827,Davyhulme West
196000,E05000819,Altrincham
520000,E05000831,Hale Central
225000,E05000836,Stretford
146000,E05000819,Altrincham
147000,E05000829,Gorse Hill
350000,E05000839,Village
384000,E05000822,Broadheath
205000,E05000838,Urmston
265000,E05000820,Ashton upon Mersey
215000,E05000836,Stretford
185000,E05000832,Longford
845000,E05000830,Hale Barns
95000,E05000823,Brooklands
215000,E05000838,Urmston
360000,E05000838,Urmston
175000,E05000836,Stretford
615000,E05000820,Ashton upon Mersey
174950,E05000828,Flixton
230000,E05000838,Urmston
308500,E05000820,Ashton upon Mersey
315000,E05000820,Ashton upon Mersey
210000,E05000820,Ashton upon Mersey
170000,E05000834,St Mary's
255000,E05000832,Longford
130000,E05000832,Longford
100000,E05000822,Broadheath
780000,E05000831,Hale Central
175000,E05000819,Altrincham
243000,E05000827,Davyhulme West
173000,E05000839,Village
151000,E05000838,Urmston
170000,E05000832,Longford
183950,E05000823,Brooklands
205000,E05000823,Brooklands
245000,E05000828,Flixton
150000,E05000832,Longford
141000,E05000834,St Mary's
150000,E05000832,Longford
